EIN,Name,DonorAdvisedFundsHeldCnt,DonorAdvisedFundsContriAmt,DonorAdvisedFundsGrantsAmt
746054628,WACO FOUNDATION,61,976305,1165595
340753533,GRAND RIVER ACADEMY,1,364918,
474844275,THE DONORS FUND,657,6161686,5052479
593652538,RAYMOND JAMES CHARITABLE ENDOWMENT FUND C/O RAYMOND JAMES TRUST NA TRUSTEE,3665,171971248,84398681
251159382,HOYT CENTER FOR THE ARTS,1,,
202351623,BARREN COUNTY EDUCATIONAL FOUNDATION INC,1,80414,0
521326014,COMMUNITY FOUNDATION OF THE EASTERN SHORE INC,127,1325907,1087525
203896774,ROBERT AND PATRICIA ENDRIES FAMILY FOUNDATION LTD,1,,8500
710582373,SOUTH ARKANSAS COMMUNITY COLLEGE FOUNDATION INC,,,
416029402,THE MINNEAPOLIS FOUNDATION,821,89488164,48722649
237368880,DCCCA INC,6,258684,281899
481022361,WICHITA COMMUNITY FOUNDATION,103,6130095,2635023
391399196,ST NORBERT COLLEGE INC,0,0,0
431466115,MISSOURI BAPTIST FOUNDATION,24,27147,45867
223089640,COMMUNITY FOUNDATION OF WESTERN MASSACHUSETTS,225,5173868,5042807
592290298,FRSA EDUCATIONAL RESEARCH FOUNDATION,1,,8000
481238797,MCPHERSON COUNTY COMMUNITY FOUNDATION,60,1120941,613621
200834966,COMMUNITY FOUNDATION OF CRAWFORD COUNTY INC,10,24245,1559
750964565,COMMUNITIES FOUNDATION OF TEXAS INC,679,48333000,49995000
941167405,JEWISH FEDERATION OF SILICON VALLEY,5,142966,810627
237107693,GREENSBORO JEWISH FEDERATION,99,3021799,4269985
521782373,MID SHORE COMMUNITY FOUNDATION INC,78,1486824,1359355
931167214,DALLAS COMMUNITY FOUNDATION C/O ROBERT BRANNIGAN,12,56765,14925
237094836,BETHEL UNIVERSITY FOUNDATION,1,427960,409500
236396949,JEWISH FEDERATION OF THE LEHIGH VALLEY,93,255050,170232
392005163,ARCHDIOCESE OF MILWAUKEE CATHOLIC COMMUNITY FOUNDATION INC,18,1347243,192720
232703118,NETWORKS FOR TRAINING AND DEVELOPMENT,2,6985,11602
160743942,CANISIUS COLLEGE,1,0,0
860327449,MARICOPA COUNTY COMMUNITY COLLEGE DISTRICT FOUNDATION,,,
800966081,ANDREW'S GIFT,5,92593,94735
410011094,Mankato Area Foundation,31,1362900,698661
510235174,LEADERSHIP INSTITUTE,3,20988,41550
