sponsor,state,value
10391479,AL,15000.0
10391479,CA,148063.0
10391479,CO,280000.0
10391479,CT,65700.0
10391479,DC,267500.0
10391479,FL,469676.0
10391479,IA,5000.0
10391479,IN,49291.0
10391479,MA,770444.0
10391479,ME,23171470.0
10391479,MI,21390.0
10391479,MN,11000.0
10391479,MS,140000.0
10391479,MT,25960.0
10391479,NC,16000.0
10391479,NH,66005.0
10391479,NJ,27500.0
10391479,NY,453685.0
10391479,PA,232594.0
10391479,RI,1777224.0
10391479,TN,9000.0
10391479,UT,10000.0
10391479,VA,336865.0
10391479,VT,145650.0
10391479,WA,28930.0
10430261,ME,135500.0
10564355,CA,10000.0
10564355,DC,21226.0
10564355,IN,7500.0
10564355,MA,337850.0
10564355,MD,10000.0
10564355,ME,20000.0
10564355,NC,34044.0
10564355,NJ,10000.0
10564355,NY,25963.0
10564355,OH,22000.0
10564355,PA,2079826.0
10564355,TN,15000.0
10564355,UT,10000.0
10564355,VA,20000.0
10564355,WV,10000.0
10589927,MA,12000.0
10589927,ND,1194576.0
10679337,AL,149000.0
10679337,AZ,770000.0
10679337,CA,111258729.0
10679337,CO,1029868.0
10679337,CT,887500.0
10679337,DC,4039109.0
10679337,DE,47788.0
10679337,FL,267265.0
10679337,GA,46900.0
10679337,HI,195000.0
10679337,IA,100000.0
10679337,ID,145000.0
10679337,IL,536556.0
10679337,IN,25000.0
10679337,KS,25000.0
10679337,KY,275000.0
10679337,LA,38915.0
10679337,MA,3340036.0
10679337,MD,318000.0
10679337,ME,10000.0
10679337,MI,97500.0
10679337,MN,87158.0
10679337,MO,450700.0
10679337,MT,89500.0
10679337,NC,120000.0
10679337,NH,3355000.0
10679337,NJ,1489187.0
10679337,NM,35000.0
10679337,NV,6200.0
10679337,NY,9849575.0
10679337,OH,329923.0
10679337,OK,44301.0
10679337,OR,585690.0
10679337,PA,780536.0
10679337,PR,4017500.0
10679337,RI,466000.0
10679337,TN,25000.0
10679337,TX,519636.0
10679337,UT,10000.0
10679337,VA,1173462.0
10679337,VT,153500.0
10679337,WA,177500.0
10679337,WI,37183.0
10679337,WY,25000.0
10782573,AL,15000.0
10782573,AR,15000.0
10782573,AZ,10000.0
10782573,CA,323918.0
10782573,CO,311990.0
10782573,DC,56200.0
